City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Happy Valley-Goose Bay,53.3168,-60.3315,299.32,50,75,6.69,CA,1689961275
80,Porto Murtinho,-21.6989,-57.8825,309.35,18,0,7.26,BR,1689961275
81,Qaqortoq,60.7167,-46.0333,278.29,97,92,3.3,GL,1689961275
82,Port Elizabeth,-33.918,25.5701,288.31,72,0,4.63,ZA,1689961203
83,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
84,Ilave,-16.0833,-69.6667,288.57,14,0,6.37,PE,1689961275
85,Quellon,-43.1167,-73.6167,284.29,82,75,4.63,CL,1689961275
86,Wailua Homesteads,22.0669,-159.378,299.59,89,75,8.23,US,1689961189
87,Hithadhoo,-0.6,73.0833,301.31,78,90,5.1,MV,1689961317
88,Jamestown,42.097,-79.2353,295.12,73,75,6.17,US,1689961276
89,Uturoa,-16.7333,-151.4333,297.82,62,85,6.92,PF,1689961209
90,Kayyerkan,69.3786,87.7439,293.87,72,100,4.62,RU,1689961276
91,Sakata,38.9167,139.855,294.31,89,1,2.74,JP,1689961276
92,Thompson,55.7435,-97.8558,295.24,60,75,5.66,CA,1689961481
93,Petropavlovsk-Kamchatsky,53.0452,158.6483,283.48,100,20,2.0,RU,1689961276
94,Codrington,-38.2667,141.9667,282.32,83,99,5.3,AU,1689961276
95,Saipan,15.1355,145.701,300.54,100,20,3.13,MP,1689961273
96,Saint-Francois,46.4154,3.9054,296.84,43,0,4.63,FR,1689961277
97,Mermoz Boabab,14.7065,-17.4758,304.46,66,75,6.17,SN,1689961277
98,Dryden,49.7833,-92.7503,298.31,50,0,4.63,CA,1689961277
99,Punta Arenas,-53.15,-70.9167,270.99,100,100,2.01,CL,1689961277
100,Antsiranana,-12.2787,49.2917,296.96,71,89,7.34,MG,1689961277
101,Stanley,54.868,-1.6985,287.48,86,40,1.03,GB,1689961277
102,Conduaga,8.862,117.4893,300.67,81,100,10.32,PH,1689961278
103,Rio Grande,-32.035,-52.0986,298.21,83,36,6.45,BR,1689961278
104,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
105,Anadyr,64.75,177.4833,285.43,93,40,1.0,RU,1689961278
106,Coquimbo,-29.9533,-71.3436,289.0,72,0,1.03,CL,1689961278
107,College,64.8569,-147.8028,294.37,79,0,0.0,US,1689961274
108,Rongelap,11.1635,166.8941,301.35,79,59,8.16,MH,1689961278
109,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
110,Vilyuysk,63.7553,121.6247,284.92,83,1,1.15,RU,1689961278
111,Keflavik,64.0049,-22.5624,288.1,82,75,7.72,IS,1689961279
112,Ilulissat,69.2167,-51.1,279.16,93,75,2.57,GL,1689961279
113,Longyearbyen,78.2186,15.6401,281.06,81,75,6.69,SJ,1689961272
114,Blackmans Bay,-43.0167,147.3167,280.11,88,34,2.9,AU,1689961279
115,Leiyang,26.4024,112.8591,301.18,81,77,2.07,CN,1689961279
116,Edinburgh Of The Seven Seas,-37.0676,-12.3116,285.19,60,100,7.79,SH,1689961178
117,Touros,-5.1989,-35.4608,301.0,60,27,8.52,BR,1689961786
118,Cabedelo,-6.9811,-34.8339,302.52,68,15,6.21,BR,1689961279
119,Udachny,66.4167,112.4,289.51,82,71,3.63,RU,1689961280
120,Edinburgh Of The Seven Seas,-37.0676,-12.3116,285.19,60,100,7.79,SH,1689961178
121,Tolanaro,-25.0319,46.9987,292.19,77,75,5.14,MG,1689961364
122,San Antonio De Pale,-1.4014,5.6325,296.52,72,56,3.64,GQ,1689961209
123,Scottburgh,-30.2867,30.7532,289.39,69,65,7.66,ZA,1689961280
124,Whitehorse,60.7161,-135.0538,294.32,59,75,1.03,CA,1689961280
125,East Grand Forks,47.93,-97.0245,299.31,51,40,3.09,US,1689961280
126,Qaqortoq,60.7167,-46.0333,278.29,97,92,3.3,GL,1689961275
127,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
128,Taiynsha,53.8478,69.7639,288.82,78,73,5.67,KZ,1689961281
129,Atafu Village,-8.5421,-172.5159,301.72,74,94,4.55,TK,1689961180
130,Karacasu,37.7282,28.6057,301.42,31,0,2.05,TR,1689961281
131,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
132,Hadibu,12.65,54.0333,299.15,78,100,9.45,YE,1689961281
133,Hedemora,60.2797,15.9886,288.65,87,72,0.89,SE,1689961281
134,Wailua Homesteads,22.0669,-159.378,299.59,89,75,8.23,US,1689961189
135,Punta Arenas,-53.15,-70.9167,270.99,100,100,2.01,CL,1689961277
136,Edinburgh Of The Seven Seas,-37.0676,-12.3116,285.19,60,100,7.79,SH,1689961178
137,Stanley,54.868,-1.6985,287.48,86,40,1.03,GB,1689961277
138,San Luis De La Loma,17.2706,-100.8939,305.78,60,25,3.94,MX,1689961282
139,Utrik,11.2278,169.8474,301.49,76,91,9.54,MH,1689961282
140,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
141,Port Lincoln,-34.7333,135.8667,285.9,74,100,5.73,AU,1689961210
142,Puerto Natales,-51.7236,-72.4875,272.06,96,100,1.9,CL,1689961660
143,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
144,La'Ie,21.6477,-157.9253,298.15,88,69,2.24,US,1689961283
145,Tiksi,71.6872,128.8694,278.75,75,57,3.87,RU,1689961778
146,Albany,42.6001,-73.9662,299.39,79,49,2.38,US,1689961084
